ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,e814b1ca-2c24-4fd7-907e-f855d7d9cb4e,1,"Open the Browser","chrome browser","Browser open",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,9e79f5b1-3377-4e24-b4d6-88e1490e9879,2,"Enter the url",http://elearningm1.upskills.in/,"it navigate to url page",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,cc6199e4-ed5c-4a16-84fe-71e1cea3654f,3,"click on Sign up",,"Registration page open",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,583cef85-97e5-4c65-ae9d-47b03fe6eaa2,4,Firstname,Raju,"name displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,eecbb07d-cef6-496f-bc81-83053f7ddf83,5,Lastname,kumar,"name displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,93b57a53-150a-452e-9b31-bd198bd6b898,6,Email,raju123@gmail.com,"email accepted",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,be9a9333-77e3-4024-b0d0-9767ad47570a,7,code,raju123,"code displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,e6511ecf-510c-4b87-ae0b-99327bf407f9,8,username,rajug,"username displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,740e4812-7301-4ba7-b706-cfcd14821cb8,9,password,raju9966,"password accepted",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,11ef1914-1ca7-47f8-a3bf-ecb72df8867d,10,"confirm password",raju9966,"confirm password accepted",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,b344fce0-6ef4-46eb-9123-08308eb0bd20,11,"phone number",9966570454,"phone number displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,5a42bd41-f351-4f6d-b2d8-43e82407b56c,12,"select Language",English,"language displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,f3db0193-f66b-4467-8ca5-5568bcadaa0f,13,"Select your profile","Student profile","profile displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,3ddce15f-dfb8-4a98-9634-ea0aa0298bb3,14,"Notify by mail on new invitation received","once a day","select your dropdown displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,a6f53881-5e6e-4b60-912b-b8053dff6be3,15,"Notify by mail on new personal message received","upon reception","select your dropdown displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,e937d7a5-b88a-42bb-8c92-7e05f72b1841,16,"Notify by mail on new group message received","upon reception","select your dropdown displayed",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,0f05a98d-2a13-4cac-be31-e62d78dd9aeb,17,"Click on Registration button",,"Registration successfull",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,89114ddb-b789-4b02-8c76-90ccac0a2b74,18,"click on Compose after login",,"Compose page opened",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,fbc840ca-5845-4904-b3d5-50ecb23bf89e,19,"Enter the email who will receive the mail",ramakrishna@gmail.com,"Taken the given data",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,af01f041-a615-4254-b6bc-ea2b4c1a8114,20,"Enter the subject",subject,"what you written the data  taken",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,9e2d90ea-a58c-4556-9ae0-c46d957c9282,21,"Enter the Message in message box","type char number anything you want","Given the data taken",UNEXECUTED,,
9df92d09-5664-412b-a99a-07caf06878b6,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,,,UNEXECUTED,,"10-20-2022 21:20:55",,,,,,7e7df473-a1e5-41b1-8604-f66a476cc2f8,22,"click on Send  message",,"Message send successfully",UNEXECUTED,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,e814b1ca-2c24-4fd7-907e-f855d7d9cb4e,1,"Open the Browser","chrome browser","Browser open",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,9e79f5b1-3377-4e24-b4d6-88e1490e9879,2,"Enter the url",http://elearningm1.upskills.in/,"it navigate to url page",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,cc6199e4-ed5c-4a16-84fe-71e1cea3654f,3,"click on Sign up",,"Registration page open",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,583cef85-97e5-4c65-ae9d-47b03fe6eaa2,4,Firstname,Raju,"name displayed",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,eecbb07d-cef6-496f-bc81-83053f7ddf83,5,Lastname,kumar,"name displayed",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,93b57a53-150a-452e-9b31-bd198bd6b898,6,Email,raju123@gmail.com,"email accepted",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,be9a9333-77e3-4024-b0d0-9767ad47570a,7,code,raju123,"code displayed",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,e6511ecf-510c-4b87-ae0b-99327bf407f9,8,username,rajug,"username displayed",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,740e4812-7301-4ba7-b706-cfcd14821cb8,9,password,raju9966,"password accepted",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,11ef1914-1ca7-47f8-a3bf-ecb72df8867d,10,"confirm password",raju9966,"confirm password accepted",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,b344fce0-6ef4-46eb-9123-08308eb0bd20,11,"phone number",9966570454,"phone number displayed",PASS,,
576dfd3b-3a9b-4b41-b836-91d4b97561ec,"Ad hoc",,CS-4,"Checking Signin e learning application",Casestudy1,,Unscheduled,Medium,Raju,"10-20-2022 21:24:54",PASS,,"10-20-2022 21:21:55",,,,,,5a42bd41-f351-4f6d-b2d8-43e82407b56c,12,"select Language",English,"language displayed",PASS,,
